C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT
60001,Customer#000060001,9Ii4zQn9cX,14,24-678-784-9652,9957.56,HOUSEHOLD,l theodolites boost slyly at the platelets: permanently ironic packages wake slyly pend
60002,Customer#000060002,ThGBMjDwKzkoOxhz,15,25-782-500-8435,742.46,BUILDING, beans. fluffily regular packages
60003,Customer#000060003,"Ed hbPtTXMTAsgGhCr4HuTzK,Md2",16,26-859-847-7640,2526.92,BUILDING,fully pending deposits sleep quickly. blithely unusual accounts across the blithely bold requests are quickly
60004,Customer#000060004,"NivCT2RVaavl,yUnKwBjDyMvB42WayXCnky",10,20-573-674-7999,7975.22,AUTOMOBILE, furiously above the ironic packages. slyly brave ideas boost. final platelets detect according to the ironi
60005,Customer#000060005,"1F3KM3ccEXEtI, B22XmCMOWJMl",12,22-741-208-1316,2504.74,MACHINERY,express instructions sleep quickly. ironic braids cajole furiously fluffily p
60006,Customer#000060006,3isiXW651fa8p ,22,32-618-195-8029,9051.40,MACHINERY, carefully quickly even theodolites. boldly 
60007,Customer#000060007,"sp6KJmx,TiSWbMPvhkQwFwTuhSi4a5OLNImpcGI",12,22-491-919-9470,6017.17,FURNITURE,bold packages. regular sheaves mold. blit
60008,Customer#000060008,3VteHZYOfbgQioA96tUeL0R7i,2,12-693-562-7122,5621.44,AUTOMOBILE,"nal courts. carefully regular Tiresias lose quickly unusual packages. regular, bold i"
60009,Customer#000060009,S60sNpR6wnacPBLeOxjxhvehf,9,19-578-776-2699,9548.01,FURNITURE,efully even dependencies haggle furiously along the express packages. final requests boost
60010,Customer#000060010,c4vEEaV1tdqLdw2oVuXp BN,21,31-677-809-6961,3497.91,HOUSEHOLD,"fter the quickly silent requests. slyly special theodolites along the even, even requests boos"
60011,Customer#000060011,"Y GqUG1QEdWr8 zkApzAXLkjOe,XMnJvV6,",8,18-421-991-6811,3422.48,BUILDING,se carefully even deposits. carefully pending requests cajole furiously p
60012,Customer#000060012,q2JnIlgSVKxmu4be,23,33-106-408-1520,671.60,FURNITURE,ly. furiously regular deposits haggle about the carefully thin packages. carefull
60013,Customer#000060013,i3t71FC4ucTs8fIEfmPwJky,0,10-394-817-3861,-485.69,MACHINERY,ecial foxes are blithely fluffily even pinto beans. ironic accounts boost. blithely regular packages h
60014,Customer#000060014,4PiiMY zaWY1W4hVpXEzdkRQrskLaq,16,26-322-873-9166,7932.15,FURNITURE,ic ideas along the bold packages u
60015,Customer#000060015,B8yKNFkXHwpxjlVkt,9,19-719-262-9343,4622.39,FURNITURE,unts. blithely special excuses haggle slyly express theodolites. quietly unusual packages sleep sly
60016,Customer#000060016,"i5JCEL8FRYSLvOs1Lkqn30a,1jherLDP",2,12-259-973-3236,4480.97,HOUSEHOLD,"ongside of the final, pending dolphins? final theodolites ha"
60017,Customer#000060017,kBV62efx6B6Iw2VsRxqEr1sKQ,1,11-139-952-4191,3653.17,AUTOMOBILE,inal packages. ironic dinos cajole against the care
60018,Customer#000060018,lQ8PB9FGW53C36XQX2uq0,0,10-310-354-8579,5759.83,BUILDING,ckly bold deposits. carefully bold accounts integrat
60019,Customer#000060019,kSI6njhnR ApXo031vtmCAaXo,1,11-624-666-9689,3444.77,MACHINERY,ncies. blithely silent gifts above the carefully 
60020,Customer#000060020,JlAdCcLE8wEqFc0,15,25-432-919-9170,1187.30,FURNITURE,equests use slyly after the ironic accounts. regular deposits haggle. ironically unusual theod
60021,Customer#000060021,KsKuSbEyZEenCWB7F1uMaOm54bciBqZfU,5,15-729-930-2564,9919.51,HOUSEHOLD,ake slyly around the permanently final deposits. furio
60022,Customer#000060022,"I2XoZQLC,63R3zIG z6i3VMCS",0,10-513-498-1045,-759.74,FURNITURE, across the blithely ironic sentiments. thinly pending requests sleep quickly alongsid
60023,Customer#000060023,"xW88V4b5xKDArlo0qP,z XmrcQ R",21,31-806-887-2010,-12.97,MACHINERY, the fluffily final somas. ideas haggle above the quickly final requ
60024,Customer#000060024,7JBly7LjGnzGYfJCcPeyIoqIwWda,2,12-100-286-8418,-6.64,HOUSEHOLD,r ideas use. slyly special accounts haggle sometimes even 
60025,Customer#000060025,fHgT5BscCU4NDQzn,22,32-222-885-5210,7296.15,MACHINERY, pains cajole slyly permanently regular deposits. carefully ruthless packages sleep. even excuses nag slyly!
60026,Customer#000060026,",ltdh6LPkAX01E,y8r9",21,31-774-338-9389,7508.13,FURNITURE,quests nag quickly. slyly unusual deposits after the blithely i
60027,Customer#000060027,"U,Y EKzklGgxO9HK4uT2g",24,34-250-415-3801,6115.22,MACHINERY,s. ironic packages are carefully slyly unusual excuse
60028,Customer#000060028,qoxXSl3gyR5EnAsp,6,16-234-762-4451,3494.99,FURNITURE,e the quickly unusual theodolites cajole slyly blithely r
60029,Customer#000060029,"5xZC76MsijD,s0i137ZP, DHyiw7kSS1HZ35kos3",14,24-983-762-4152,9281.15,FURNITURE,"longside of the ironic, regular foxes. carefully special ideas across the q"
60030,Customer#000060030,Z83eL7JAqUtvICQpzurfi,21,31-255-824-1782,6397.50,MACHINERY,"le quickly even ideas. final, pending accounts try to sleep. sl"
60031,Customer#000060031,RsGAZJyxQopaxWfk5,8,18-381-736-7702,6765.74,FURNITURE,cial deposits. ironic requests across the iro
60032,Customer#000060032,ODYUHV1 EEwTKPxjqraz8Qj 7,16,26-327-503-7376,2896.86,MACHINERY,"ecial, final asymptotes. quickly brave "
60033,Customer#000060033,fwvb5ua8ZcB,24,34-142-708-2404,-493.59,MACHINERY,lithely final packages. quickly regular requests s
60034,Customer#000060034, XHRzdojlNAuRjTNRn7A1aL9OYJj56nud1sVss,14,24-991-831-7826,7230.69,AUTOMOBILE,"sts. final packages along the daringly bold ideas haggle blithely slyly careful requests. unusual, bold as"
60035,Customer#000060035,"pNlmNfCzO8VyidrSxb1,xLDVe72pA8AaSgjM",13,23-458-688-7730,7189.50,MACHINERY,"ular pinto beans thrash after the instructions. bold, express dolphins affix. blithely regular attainments use furi"
60036,Customer#000060036,uS6mnAgdAJxYUXHKV6pJeA,12,22-567-329-8836,7897.90,AUTOMOBILE,refully ironic foxes use blithely arou
60037,Customer#000060037,CwMXJOZEIpfMBG Ou8i,4,14-558-867-3263,1032.42,MACHINERY," regular, slow asymptotes cajole carefully after the even packages. regular ex"
60038,Customer#000060038, FBvBksLyQsKovVujfq8XQ,7,17-472-497-4468,2771.18,HOUSEHOLD,"g ideas about the express, special asymptotes wake fluffily special, bold asymptotes. blithel"
60039,Customer#000060039,4ueytKAS57U k9mT,10,20-568-367-3870,-765.42,MACHINERY,"ular theodolites. special ideas wake. express, unusual dependencies cajole furiously ironic packages. furio"
60040,Customer#000060040,7h5ewM0d9iNA,4,14-208-209-8223,3446.78,MACHINERY,"ronic platelets. unusual, final foxes"
60041,Customer#000060041,"7v,yuEy1eSGCIR",8,18-726-365-9334,1943.82,FURNITURE,elets haggle furiously after the regular depend
60042,Customer#000060042,ISIiBHlZbYLcKvjENUzOujxtpesZkn6d,17,27-877-618-6057,8681.96,BUILDING,ptotes. furiously special accounts wake quickly carefully final deposits. blithe deposits besides the fi
60043,Customer#000060043,6SLQTGRhNJBKEJl9aekego5iwHgy,0,10-115-238-4882,737.03,HOUSEHOLD,"sly final requests use furiously along the stealthily final excuses. express, even accounts"
60044,Customer#000060044,h0Pq22NKefS3TAEzNX pwRXnRMUbIbi4Gg,4,14-935-681-4749,-812.91,FURNITURE,ly alongside of the final requests. ironic pains across the deposits affix slyly agains
60045,Customer#000060045,tdK8K5oQAv 65 8dBXSVqlkaVTi1yGQ212OIhdw,1,11-324-301-1077,8388.11,AUTOMOBILE," the furiously regular requests detect alongside of the blithely final packages. silent, pending deposits "
60046,Customer#000060046,VnzEPMAo8c9UxMI6,20,30-318-671-3782,1022.57,AUTOMOBILE, carefully unusual packages boost carefully across the furious
60047,Customer#000060047,"FETxgdO1 Nn,HkjnlMNx3dvUrM4qMlf",2,12-721-745-5342,2264.76,HOUSEHOLD,nding accounts sleep furiously c
60048,Customer#000060048,72pgkyyStsx2,8,18-277-123-4299,1798.13,HOUSEHOLD,egular deposits. fluffily careful requ
60049,Customer#000060049,2ST732JS cryl ,9,19-228-258-6362,2128.83,BUILDING,"es: express pinto beans wake across the carefully dogged dependencies. express, final ideas a"
60050,Customer#000060050,"gGFB2vQ,gT2gRGSSDE",16,26-622-811-1720,5181.99,FURNITURE, carefully bold deposits are after the carefully regular instructions. ideas about the ironic requests are ironic
60051,Customer#000060051,7a962hQWerXSv2Ku7o,14,24-197-875-9602,4737.58,FURNITURE,"ilent, unusual accounts cajole slyly. blithely silent requests detect even deposits. fi"
60052,Customer#000060052,"jygrlXgrjEIaVsH14eKreo,ldCsK",16,26-331-160-8399,4515.17,HOUSEHOLD,"pecial deposits sleep. bold, special accounts haggle ironically slyly even packages. blithely pending packages are"
60053,Customer#000060053,wb0gteUavl1MPAHwiM,0,10-684-354-3580,6515.51,FURNITURE,ly courts. fluffy packages wake furiously alongside of the always unusual dep
60054,Customer#000060054,0QdjbAzlkzIeMDMZIbo9r1hIIDL9ha9FZpu sGlT,13,23-863-828-6238,-861.62,HOUSEHOLD,"ost bold ideas. blithely bold pains according to the special, regular dolphins "
60055,Customer#000060055,XkEd61ySvE933LKafILNEH SkdC36eftDuo4Yji,10,20-477-978-6479,3725.35,MACHINERY,ctions print slyly furiously regular asymptotes. quickly special theodolites
60056,Customer#000060056,"2lvoe8n8b1,PJ0i3Jq9ZKeL7rH9Fahsui36",3,13-221-847-3701,8880.28,BUILDING,fully furiously even deposits. final accounts nag
60057,Customer#000060057,ic 8HeykoYS,2,12-739-799-1858,984.87,MACHINERY,"ng packages. unusual, thin accounts sleep carefully final"
60058,Customer#000060058,"X9NS,0Ddki",23,33-146-680-6559,6672.12,MACHINERY,ess requests. special requests wake blit
60059,Customer#000060059,"dZISBokE9NWaz13 b5WbOHrd8DifA,e2yict0",24,34-348-323-9173,2337.46,HOUSEHOLD,"ndencies. excuses sleep. quickly daring dugouts cajole furiously. carefully final accounts across the final, bold"
60060,Customer#000060060,Kj69nQ7CnmBmQyiBPXDU7qnXLo59CX,6,16-197-125-7396,2636.07,HOUSEHOLD,"odolites. bold, final foxes after the slyly careful instructions wake f"
60061,Customer#000060061,vYxaVWbpszoT8qQBdaizgWRSQGe,14,24-289-526-7060,5349.63,BUILDING,onic foxes nag blithely slyly express foxes. blithely fina
